candidate_id,stem,seed,source_row_index,neoplastic_centroid_count,inflammatory_centroid_count,candidate_order,seed_index,config_id,green_sd,controlnet_strength,denoising_steps,spatial_score
candidate_0469,TCGA-AO-A0JE_x145408_y35840_BL,1777203985,617,23,8,8,0,cfg01_gm1_c2_s30,-1.0,2.0,30,0.8375
candidate_0470,TCGA-A2-A0CK_x17408_y28672_BL,800513465,618,3,9,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.6956521739130435
candidate_0471,TCGA-AC-A3TM_x81920_y28672_BR,1290067491,619,3,34,0,0,cfg00_g0_c2_s30,0.0,2.0,30,0.7941176470588235
candidate_0472,TCGA-AR-A24N_x101376_y45056_BR,901065493,620,23,25,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.922077922077922
candidate_0473,TCGA-A8-A094_x25600_y12288_TL,982593634,621,20,8,11,3,cfg01_gm1_c2_s30,-1.0,2.0,30,0.696969696969697
candidate_0474,TCGA-A8-A086_x39936_y83968_BL,848480836,623,6,2,14,6,cfg01_gm1_c2_s30,-1.0,2.0,30,0.7741935483870968
candidate_0475,TCGA-LL-A6FP_x56320_y18432_BR,2023944239,624,17,4,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.8055555555555556
candidate_0476,TCGA-C8-A12O_x25600_y30720_TL,1480382381,628,7,30,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.7578947368421053
candidate_0477,TCGA-AN-A0AS_x24576_y17408_BR,1661772114,629,14,3,0,0,cfg00_g0_c2_s30,0.0,2.0,30,0.8620689655172413
candidate_0478,TCGA-A8-A086_x43008_y77824_TL,7695150,630,25,8,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.7391304347826086
candidate_0479,TCGA-AN-A04A_x103424_y19456_BL,1267572614,631,3,1,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.6037735849056604
candidate_0480,TCGA-BH-A0DS_x83968_y49152_TL,2055335491,632,18,3,5,5,cfg00_g0_c2_s30,0.0,2.0,30,0.7555555555555555
candidate_0481,TCGA-A2-A0CX_x46080_y69632_TR,1126768013,634,39,1,10,2,cfg01_gm1_c2_s30,-1.0,2.0,30,0.8333333333333334
candidate_0482,TCGA-BH-A0DT_x65536_y25600_TR,280113978,635,64,4,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.9146341463414634
